Satz,recognized,natural,sex,age,emotion
03a01Ab,65,35,m,31,fear
03a01Eb,60,35,m,31,disgust
03a01Fa,90,75,m,31,happiness
03a01Lb,70,35,m,31,boredom
03a01Nc,100,95,m,31,neutral
03a01Tc,65,55,m,31,sadness
03a01Wa,95,90,m,31,anger
08a01Aa,75,45,f,34,fear
08a01Ab,85,55,f,34,fear
08a01Ec,60,20,f,34,disgust
08a01Fd,90,50,f,34,happiness
08a01Lc,95,95,f,34,boredom
08a01Na,95,80,f,34,neutral
08a01Td,75,40,f,34,sadness
08a01Wa,95,75,f,34,anger
08a01Wc,100,95,f,34,anger
09a01Aa,55,25,f,21,fear
09a01Ea,100,65,f,21,disgust
09a01Fa,80,60,f,21,happiness
09a01Lc,75,65,f,21,boredom
09a01Nb,95,75,f,21,neutral
09a01Tc,10,0,f,21,sadness
09a01Wb,100,85,f,21,anger
10a01Ac,90,55,m,32,fear
10a01Eb,65,15,m,32,disgust
10a01Fb,95,50,m,32,happiness
10a01Lb,75,65,m,32,boredom
10a01Lc,70,55,m,32,boredom
10a01Nb,90,85,m,32,neutral
10a01Tb,35,15,m,32,sadness
10a01Td,75,60,m,32,sadness
10a01Wa,95,60,m,32,anger
11a01Aa,85,50,m,26,fear
11a01Ab,90,70,m,26,fear
11a01Ea,25,5,m,26,disgust
11a01Fa,85,45,m,26,happiness
11a01Ld,95,70,m,26,boredom
11a01Nd,100,80,m,26,neutral
11a01Td,50,30,m,26,sadness
11a01Wc,100,95,m,26,anger
12a01Ab,90,45,m,30,fear
12a01Eb,75,55,m,30,disgust
12a01Fb,95,70,m,30,happiness
12a01Lb,90,70,m,30,boredom
12a01Nb,95,75,m,30,neutral
12a01Tb,60,10,m,30,sadness
12a01Wc,95,80,m,30,anger
13a01Ac,95,60,f,32,fear
13a01Ea,85,60,f,32,disgust
13a01Ec,90,70,f,32,disgust
13a01Fd,100,80,f,32,happiness
13a01Lb,100,90,f,32,boredom
13a01Nb,95,75,f,32,neutral
13a01Ta,70,30,f,32,sadness
13a01Wb,100,75,f,32,anger
14a01Aa,90,75,f,35,fear
14a01Ac,90,80,f,35,fear
14a01Ea,85,50,f,35,disgust
14a01Fa,90,55,f,35,happiness
14a01La,75,60,f,35,boredom
14a01Ld,65,45,f,35,boredom
14a01Na,95,75,f,35,neutral
14a01Tb,45,20,f,35,sadness
14a01Td,45,35,f,35,sadness
14a01Wa,95,90,f,35,anger
14a01Wc,95,65,f,35,anger
15a01Ad,45,15,m,25,fear
15a01Ea,95,70,m,25,disgust
15a01Fb,85,60,m,25,happiness
15a01La,100,95,m,25,boredom
15a01Nb,95,85,m,25,neutral
15a01Tb,75,20,m,25,sadness
15a01Tc,75,50,m,25,sadness
15a01Wa,95,95,m,25,anger
16a01Ab,60,40,f,31,fear
16a01Ec,90,70,f,31,disgust
16a01Fc,95,65,f,31,happiness
16a01Lb,100,90,f,31,boredom
16a01Nc,90,85,f,31,neutral
16a01Tb,100,85,f,31,sadness
16a01Wb,100,85,f,31,anger
03a02Ab,90,40,m,31,fear
03a02Ea,55,25,m,31,disgust
03a02Fc,85,60,m,31,happiness
03a02Lc,50,35,m,31,boredom
03a02Nc,100,95,m,31,neutral
03a02Ta,90,75,m,31,sadness
03a02Wb,100,85,m,31,anger
03a02Wc,100,90,m,31,anger
08a02Aa,70,40,f,34,fear
08a02Ab,85,60,f,34,fear
08a02Ac,85,55,f,34,fear
08a02Ec,70,25,f,34,disgust
08a02Fe,100,100,f,34,happiness
08a02La,80,75,f,34,boredom
08a02Na,100,70,f,34,neutral
08a02Tb,90,60,f,34,sadness
08a02Wc,100,85,f,34,anger
09a02Ac,70,35,f,21,fear
09a02Ea,100,75,f,21,disgust
09a02Eb,85,50,f,21,disgust
09a02Fa,70,50,f,21,happiness
09a02La,100,90,f,21,boredom
09a02Nc,70,45,f,21,neutral
09a02Ta,35,0,f,21,sadness
09a02Tb,70,20,f,21,sadness
09a02Wb,100,85,f,21,anger
10a02Ab,85,65,m,32,fear
10a02Ed,35,20,m,32,disgust
10a02Fa,80,45,m,32,happiness
10a02Lb,90,90,m,32,boredom
10a02Na,90,85,m,32,neutral
10a02Ta,45,30,m,32,sadness
10a02Tb,70,45,m,32,sadness
10a02Wa,100,80,m,32,anger
11a02Ab,85,45,m,26,fear
11a02Ec,85,60,m,26,disgust
11a02Fb,85,50,m,26,happiness
11a02La,70,45,m,26,boredom
11a02Ld,80,80,m,26,boredom
11a02Nc,100,85,m,26,neutral
11a02Tc,85,85,m,26,sadness
11a02Wc,100,80,m,26,anger
12a02Ac,90,65,m,30,fear
12a02Ec,95,70,m,30,disgust
12a02Fa,35,15,m,30,happiness
12a02Fb,35,15,m,30,happiness
12a02La,60,45,m,30,boredom
12a02Lc,75,75,m,30,boredom
12a02Nb,90,75,m,30,neutral
12a02Ta,80,45,m,30,sadness
12a02Wa,90,70,m,30,anger
12a02Wc,95,80,m,30,anger
13a02Ad,90,70,f,32,fear
13a02Ec,90,60,f,32,disgust
13a02Fa,90,80,f,32,happiness
13a02Lc,80,70,f,32,boredom
13a02Nc,90,80,f,32,neutral
13a02Ta,95,85,f,32,sadness
13a02Wa,95,85,f,32,anger
14a02Ab,85,60,f,35,fear
14a02Ea,95,65,f,35,disgust
14a02Fd,90,65,f,35,happiness
14a02La,80,55,f,35,boredom
14a02Nc,100,85,f,35,neutral
14a02Tb,80,65,f,35,sadness
14a02Wa,95,75,f,35,anger
14a02Wc,95,90,f,35,anger
15a02Ac,80,65,m,25,fear
15a02Ea,100,80,m,25,disgust
15a02Fa,45,5,m,25,happiness
15a02La,95,85,m,25,boredom
15a02Lc,15,10,m,25,boredom
15a02Na,100,100,m,25,neutral
15a02Ta,95,75,m,25,sadness
15a02Wb,100,80,m,25,anger
15a02Wd,100,85,m,25,anger
16a02Aa,95,50,f,31,fear
16a02Ea,100,80,f,31,disgust
16a02Ec,100,75,f,31,disgust
16a02Fc,90,55,f,31,happiness
16a02Lb,100,85,f,31,boredom
16a02Nb,80,60,f,31,neutral
16a02Tc,95,85,f,31,sadness
16a02Wb,100,85,f,31,anger
03a04Ac,80,50,m,31,fear
03a04Ad,90,65,m,31,fear
03a04Eb,60,20,m,31,disgust
03a04Fd,100,90,m,31,happiness
03a04Lc,90,85,m,31,boredom
03a04Nc,100,95,m,31,neutral
03a04Ta,90,75,m,31,sadness
03a04Wa,90,45,m,31,anger
03a04Wc,100,65,m,31,anger
08a04Aa,90,30,f,34,fear
08a04Ec,70,25,f,34,disgust
08a04Ff,100,90,f,34,happiness
08a04La,95,95,f,34,boredom
08a04Nc,100,95,f,34,neutral
08a04Tb,80,70,f,34,sadness
08a04Wc,100,90,f,34,anger
09a04Ab,90,40,f,21,fear
09a04Ea,90,55,f,21,disgust
09a04Fd,100,80,f,21,happiness
09a04La,100,100,f,21,boredom
09a04Nb,95,90,f,21,neutral
09a04Ta,45,15,f,21,sadness
09a04Wa,100,75,f,21,anger
10a04Ab,40,15,m,32,fear
10a04Eb,80,20,m,32,disgust
10a04Fd,80,55,m,32,happiness
10a04Ld,65,55,m,32,boredom
10a04Nb,90,65,m,32,neutral
10a04Tb,65,45,m,32,sadness
10a04Wa,100,80,m,32,anger
10a04Wb,100,85,m,32,anger
11a04Ac,95,75,m,26,fear
11a04Eb,85,50,m,26,disgust
11a04Ec,80,20,m,26,disgust
11a04Fd,90,85,m,26,happiness
11a04Ld,40,20,m,26,boredom
11a04Nd,80,55,m,26,neutral
11a04Tc,75,50,m,26,sadness
11a04Wa,70,30,m,26,anger
11a04Wc,90,65,m,26,anger
12a04Aa,95,55,m,30,fear
12a04Eb,75,40,m,30,disgust
12a04Fa,45,10,m,30,happiness
12a04Fc,55,20,m,30,happiness
12a04Lb,60,50,m,30,boredom
12a04Nc,75,50,m,30,neutral
12a04Tb,75,45,m,30,sadness
12a04Wc,90,65,m,30,anger
13a04Ac,85,65,f,32,fear
13a04Ea,65,25,f,32,disgust
13a04Fc,90,65,f,32,happiness
13a04Lb,100,90,f,32,boredom
13a04Nc,65,65,f,32,neutral
13a04Ta,90,75,f,32,sadness
13a04Tb,70,45,f,32,sadness
13a04Tc,75,35,f,32,sadness
13a04Wc,100,100,f,32,anger
14a04Aa,100,75,f,35,fear
14a04Ed,80,55,f,35,disgust
14a04Fc,75,40,f,35,happiness
14a04Fd,65,25,f,35,happiness
14a04Lb,95,90,f,35,boredom
14a04Nb,75,70,f,35,neutral
14a04Tb,95,85,f,35,sadness
14a04Tc,100,100,f,35,sadness
14a04Wb,100,70,f,35,anger
14a04Wc,100,60,f,35,anger
15a04Ab,100,80,m,25,fear
15a04Ac,80,55,m,25,fear
15a04Eb,80,35,m,25,disgust
15a04Fd,90,60,m,25,happiness
15a04Lb,70,70,m,25,boredom
15a04Nc,95,95,m,25,neutral
15a04Tb,95,55,m,25,sadness
15a04Wa,100,85,m,25,anger
15a04Wb,100,95,m,25,anger
16a04Ab,85,45,f,31,fear
16a04Ea,95,80,f,31,disgust
16a04Fa,100,85,f,31,happiness
16a04La,100,90,f,31,boredom
16a04Lc,100,95,f,31,boredom
16a04Nc,95,75,f,31,neutral
16a04Tc,90,75,f,31,sadness
16a04Wb,100,75,f,31,anger
16a04Wc,100,100,f,31,anger
03a05Aa,85,55,m,31,fear
03a05Ea,75,30,m,31,disgust
03a05Fc,100,80,m,31,happiness
03a05La,65,30,m,31,boredom
03a05Nd,100,90,m,31,neutral
03a05Ta,45,20,m,31,sadness
03a05Tc,85,50,m,31,sadness
03a05Wa,100,85,m,31,anger
03a05Wb,100,90,m,31,anger
08a05Aa,95,50,f,34,fear
08a05Ea,70,35,f,34,disgust
08a05Fe,100,90,f,34,happiness
08a05Lc,95,80,f,34,boredom
08a05Nb,100,95,f,34,neutral
08a05Ta,95,70,f,34,sadness
08a05Wa,100,80,f,34,anger
09a05Aa,95,55,f,21,fear
09a05Ed,100,80,f,21,disgust
09a05Fa,45,5,f,21,happiness
09a05Lc,85,65,f,21,boredom
09a05Nb,100,100,f,21,neutral
09a05Tb,85,55,f,21,sadness
09a05Wb,100,95,f,21,anger
09a05Wc,95,90,f,21,anger
10a05Aa,90,55,m,32,fear
10a05Eb,85,40,m,32,disgust
10a05Fa,70,45,m,32,happiness
10a05Ld,100,80,m,32,boredom
10a05Na,90,45,m,32,neutral
10a05Tb,80,45,m,32,sadness
10a05Wb,100,70,m,32,anger
11a05Ad,100,75,m,26,fear
11a05Ea,75,30,m,26,disgust
11a05Fb,95,70,m,26,happiness
11a05Fc,100,65,m,26,happiness
11a05Lc,85,75,m,26,boredom
11a05Na,85,80,m,26,neutral
11a05Td,90,60,m,26,sadness
11a05Wd,100,100,m,26,anger
12a05Ab,95,55,m,30,fear
12a05Ec,75,25,m,30,disgust
12a05Fc,25,15,m,30,happiness
12a05Lb,100,85,m,30,boredom
12a05Nd,90,75,m,30,neutral
12a05Ta,90,55,m,30,sadness
12a05Wb,95,85,m,30,anger
13a05Aa,100,80,f,32,fear
13a05Ac,75,35,f,32,fear
13a05Ea,85,65,f,32,disgust
13a05Fa,85,40,f,32,happiness
13a05Lc,90,90,f,32,boredom
13a05Nb,100,100,f,32,neutral
13a05Tc,85,70,f,32,sadness
13a05Wa,95,75,f,32,anger
13a05Wc,95,75,f,32,anger
14a05Aa,100,90,f,35,fear
14a05Ac,95,85,f,35,fear
14a05Ea,90,50,f,35,disgust
14a05Fa,100,80,f,35,happiness
14a05Fb,100,85,f,35,happiness
14a05Lb,95,85,f,35,boredom
14a05Na,95,75,f,35,neutral
14a05Ta,90,75,f,35,sadness
14a05Tc,85,60,f,35,sadness
14a05Wa,100,100,f,35,anger
14a05Wb,100,95,f,35,anger
15a05Ab,85,50,m,25,fear
15a05Eb,100,85,m,25,disgust
15a05Fb,85,60,m,25,happiness
15a05Lb,95,90,m,25,boredom
15a05Na,100,90,m,25,neutral
15a05Ta,85,40,m,25,sadness
15a05Tb,85,35,m,25,sadness
15a05Wa,100,95,m,25,anger
16a05Ab,95,80,f,31,fear
16a05Ea,90,60,f,31,disgust
16a05Fc,90,55,f,31,happiness
16a05La,100,100,f,31,boredom
16a05Na,55,50,f,31,neutral
16a05Tb,100,75,f,31,sadness
16a05Wb,100,90,f,31,anger
16a05Wc,100,90,f,31,anger
03a07Ad,65,45,m,31,fear
03a07Ea,85,45,m,31,disgust
03a07Fa,85,80,m,31,happiness
03a07Fb,95,70,m,31,happiness
03a07La,95,80,m,31,boredom
03a07Nc,100,100,m,31,neutral
03a07Tc,75,60,m,31,sadness
03a07Wc,85,60,m,31,anger
08a07Aa,90,45,f,34,fear
08a07Ed,65,5,f,34,disgust
08a07Fd,80,70,f,34,happiness
08a07La,90,75,f,34,boredom
08a07Na,100,80,f,34,neutral
08a07Ta,80,75,f,34,sadness
08a07Tb,95,95,f,34,sadness
08a07Wc,95,75,f,34,anger
09a07Aa,90,55,f,21,fear
09a07Eb,95,60,f,21,disgust
09a07Fd,70,20,f,21,happiness
09a07Lc,70,45,f,21,boredom
09a07Na,95,85,f,21,neutral
09a07Ta,85,60,f,21,sadness
09a07Wb,100,100,f,21,anger
09a07Wd,100,75,f,21,anger
10a07Aa,90,70,m,32,fear
10a07Ad,85,55,m,32,fear
10a07Eb,90,45,m,32,disgust
10a07Fb,75,35,m,32,happiness
10a07La,95,90,m,32,boredom
10a07Nb,60,30,m,32,neutral
10a07Ta,85,60,m,32,sadness
10a07Wb,95,90,m,32,anger
11a07Ac,80,65,m,26,fear
11a07Ec,80,40,m,26,disgust
11a07Fd,95,40,m,26,happiness
11a07Ld,90,80,m,26,boredom
11a07Nb,85,50,m,26,neutral
11a07Ta,80,70,m,26,sadness
11a07Wc,90,70,m,26,anger
12a07Ac,100,85,m,30,fear
12a07Ec,90,15,m,30,disgust
12a07Fd,65,50,m,30,happiness
12a07La,90,70,m,30,boredom
12a07Nb,80,55,m,30,neutral
12a07Tc,30,10,m,30,sadness
12a07Wa,80,60,m,30,anger
12a07Wc,75,65,m,30,anger
13a07Aa,75,35,f,32,fear
13a07Ea,55,25,f,32,disgust
13a07Fd,90,65,f,32,happiness
13a07Lb,85,85,f,32,boredom
13a07Na,90,85,f,32,neutral
13a07Tc,80,65,f,32,sadness
13a07Wb,100,80,f,32,anger
14a07Aa,100,95,f,35,fear
14a07Eb,95,75,f,35,disgust
14a07Fd,95,65,f,35,happiness
14a07Lc,90,80,f,35,boredom
14a07Ld,85,70,f,35,boredom
14a07Na,95,75,f,35,neutral
14a07Tc,90,80,f,35,sadness
14a07Wc,95,95,f,35,anger
15a07Ac,90,75,m,25,fear
15a07Eb,95,75,m,25,disgust
15a07Fa,90,70,m,25,happiness
15a07Fb,100,80,m,25,happiness
15a07Ld,95,85,m,25,boredom
15a07Nc,100,95,m,25,neutral
15a07Tc,70,40,m,25,sadness
15a07Wb,65,45,m,25,anger
16a07Ac,75,50,f,31,fear
16a07Ea,95,85,f,31,disgust
16a07Fa,80,55,f,31,happiness
16a07Fb,100,85,f,31,happiness
